,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
431,COQ3,42.07073033,-0.217915047,0.204872906,-1.06365967,0.287482901,0.725892209
432,LECM,78.37920528,-0.839934739,0.862077936,-0.974314159,0.329900577,0.760785397
433,DIRC2,7.514303697,1.72755249,0.794480328,2.174443381,0.029671853,0.292183269
434,SCLT1,208.8481666,0.123240748,0.138391649,0.890521571,0.373185891,0.791336575
435,PCFT,109.4332876,0.049676725,0.139406407,0.356344632,0.721582489,0.956785196
436,GAL2B,0.878535124,1.340466182,1.983476958,0.675816362,0.499157245,0.866683242
437,PYRD,28.1709446,-0.853888945,0.255699418,-3.339424671,0.000839521,0.047604455
438,PYRD,13.34476886,0.316375838,0.272237994,1.162129628,0.245182814,0.685989942
439,PYRD,67.68059234,0.116189287,0.124006299,0.936962784,0.348777702,0.776087657
440,TF2B,457.1126107,-0.144680814,0.127787033,-1.132202626,0.257549256,0.697395431
441,TF2B,16.63306655,-0.20392512,0.214516896,-0.950624978,0.341794784,0.770712037
442,TPMT,1.669526783,-3.627755292,2.000033699,-1.813847084,0.069701271,0.4235708
443,TPMT,1.303961232,-1.359954506,1.438604385,-0.945329042,0.344490916,0.773134462
444,TPMT,119.8500994,-0.494760628,0.229236566,-2.158297161,0.030904735,0.297151429
445,UBP19,106.3710764,-0.045172358,0.241514924,-0.187037543,0.851631198,0.982379976
446,EXOC4,136.3339,-0.107636357,0.308755194,-0.348613915,0.72737918,0.958523501
447,EXOC4,91.59524861,0.619538643,0.535352203,1.157254307,0.247168476,0.687251508
448,HECD4,6.513980702,-1.041346988,0.813246532,-1.280481314,0.200375912,0.635911963
449,INS,4.718267643,-0.050880419,0.507992666,-0.10015975,0.9202175,0.994815266
450,EMC3,80.1260797,-0.479105198,0.17335219,-2.763767779,0.005713819,0.137958818
451,FCN2,303.5907615,-0.527529042,0.324430096,-1.626017587,0.103945914,0.496203259
452,UBE2U,238.0791539,0.10286062,0.096301544,1.068109763,0.285471002,0.724576949
