,diff,lwr,upr,p.adj
S:T2:L-C_water:T0:L,-0.010067394,-0.211115002,0.190980213,1
F:T2:L-F:T1:L,0.020392442,-0.113639296,0.15442418,1
M:T2:L-F:T1:L,-0.020843959,-0.154875697,0.11318778,1
S:T2:L-F:T1:L,-0.015948985,-0.165801024,0.133903055,1
F:T2:L-S:T1:L,-0.019750484,-0.169602523,0.130101555,1
S:T2:L-M:T2:L,0.004894974,-0.144957065,0.154747013,1
F:T0:H-C_air:T0:H,NA,NA,NA,NA
M:T0:H-C_air:T0:H,NA,NA,NA,NA
S:T0:H-C_air:T0:H,NA,NA,NA,NA
C_air:T1:H-C_air:T0:H,NA,NA,NA,NA
C_water:T1:H-C_air:T0:H,NA,NA,NA,NA
C_air:T2:H-C_air:T0:H,NA,NA,NA,NA
C_water:T2:H-C_air:T0:H,NA,NA,NA,NA
F:T0:L-C_air:T0:H,NA,NA,NA,NA
M:T0:L-C_air:T0:H,NA,NA,NA,NA
S:T0:L-C_air:T0:H,NA,NA,NA,NA
C_air:T1:L-C_air:T0:H,NA,NA,NA,NA
C_water:T1:L-C_air:T0:H,NA,NA,NA,NA
C_air:T2:L-C_air:T0:H,NA,NA,NA,NA
C_water:T2:L-C_air:T0:H,NA,NA,NA,NA
F:T0:H-C_water:T0:H,NA,NA,NA,NA
M:T0:H-C_water:T0:H,NA,NA,NA,NA
S:T0:H-C_water:T0:H,NA,NA,NA,NA
C_air:T1:H-C_water:T0:H,NA,NA,NA,NA
C_water:T1:H-C_water:T0:H,NA,NA,NA,NA
C_air:T2:H-C_water:T0:H,NA,NA,NA,NA
C_water:T2:H-C_water:T0:H,NA,NA,NA,NA
F:T0:L-C_water:T0:H,NA,NA,NA,NA
M:T0:L-C_water:T0:H,NA,NA,NA,NA
S:T0:L-C_water:T0:H,NA,NA,NA,NA
C_air:T1:L-C_water:T0:H,NA,NA,NA,NA
C_water:T1:L-C_water:T0:H,NA,NA,NA,NA
C_air:T2:L-C_water:T0:H,NA,NA,NA,NA
C_water:T2:L-C_water:T0:H,NA,NA,NA,NA
M:T0:H-F:T0:H,NA,NA,NA,NA
S:T0:H-F:T0:H,NA,NA,NA,NA
C_air:T1:H-F:T0:H,NA,NA,NA,NA
C_water:T1:H-F:T0:H,NA,NA,NA,NA
F:T1:H-F:T0:H,NA,NA,NA,NA
M:T1:H-F:T0:H,NA,NA,NA,NA
S:T1:H-F:T0:H,NA,NA,NA,NA
C_air:T2:H-F:T0:H,NA,NA,NA,NA
C_water:T2:H-F:T0:H,NA,NA,NA,NA
F:T2:H-F:T0:H,NA,NA,NA,NA
M:T2:H-F:T0:H,NA,NA,NA,NA
S:T2:H-F:T0:H,NA,NA,NA,NA
C_air:T0:L-F:T0:H,NA,NA,NA,NA
C_water:T0:L-F:T0:H,NA,NA,NA,NA
